# CurlyM omega_m logL logPrior
-3.045196911909668458e+00 6.886113232809114582e-01 -4.469934797900913992e+01 0.000000000000000000e+00
-2.833385379208409827e+00 1.497111760440715367e+00 -4.469658696579090673e+01 0.000000000000000000e+00
-2.980022519657406832e+00 7.397475075359274399e-01 -4.469446344348819622e+01 0.000000000000000000e+00
-2.744802803840760586e+00 1.606060372797866176e+00 -4.469000993549078515e+01 0.000000000000000000e+00
-2.757296018130249493e+00 1.385598190199179403e+00 -4.466435493455538364e+01 0.000000000000000000e+00
-2.816288048603714067e+00 1.125968433059675089e+00 -4.466252422947264478e+01 0.000000000000000000e+00
-2.922175574873175474e+00 1.255770918559805382e+00 -4.465581497434543934e+01 0.000000000000000000e+00
-2.749672890286535054e+00 1.610677250106905101e+00 -4.465396754291774783e+01 0.000000000000000000e+00
-2.765007400937713911e+00 1.343195099537590309e+00 -4.464847096219921951e+01 0.000000000000000000e+00
-2.839912647601116724e+00 1.479079268130994773e+00 -4.464779400391579856e+01 0.000000000000000000e+00
-3.015186986248427736e+00 9.535440320876993336e-01 -4.464710830784050444e+01 0.000000000000000000e+00
-2.761335783657283383e+00 1.614571379120786743e+00 -4.464524534218200102e+01 0.000000000000000000e+00
-2.835724870723790314e+00 1.488537268408035796e+00 -4.463642330577005879e+01 0.000000000000000000e+00
-2.857466747253925021e+00 9.983435046449624650e-01 -4.463563132471350769e+01 0.000000000000000000e+00
-3.050753599769933988e+00 7.978324226090278692e-01 -4.463397448298993453e+01 0.000000000000000000e+00
-2.746472012487215952e+00 1.600118041580009587e+00 -4.463218430854913521e+01 0.000000000000000000e+00
-2.760122950947728526e+00 1.371986336466946010e+00 -4.463122911964254769e+01 0.000000000000000000e+00
-3.054703650551786165e+00 7.689166000912384114e-01 -4.462923682870182773e+01 0.000000000000000000e+00
