2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.9495118355056746, 'omega_L': 1.213803512293985, 'omega_m': 1.1747238328046286}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.6215948704290737, 'omega_L': 1.252848838125737, 'omega_m': 0.6409556772862444}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.5987360066947058, 'omega_L': 1.40669995522794, 'omega_m': 0.7134750147449054}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.2108307642039664, 'omega_L': 0.48249228331608895, 'omega_m': 1.158827677523261}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.1026306735683713, 'omega_L': 0.854038753825022, 'omega_m': 1.2409771687252558}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -0.10106056424840926, 'omega_L': 0.3891334611243422, 'omega_m': 0.9442373169335765}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.911474095482864, 'omega_L': 0.293480123968509, 'omega_m': 1.0004807755300256}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.8518196564765663, 'omega_L': 0.8194900389965478, 'omega_m': 1.0385177151239415}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -1.2211924874385218, 'omega_L': 1.142182354836252, 'omega_m': 0.9971150008564591}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
